cohort,horizon,group,n_rollouts,visual_nll_nats_per_token,visual_token_accuracy,exact_grid_accuracy,decoded_mse,decoded_psnr_db,predicted_decoded_density,target_decoded_density,token_marginal_js_nats,mean_death_probability,death_targets
standard,1,all,1024,2.568671703338623,0.3011627197265625,0.0009765625,0.0005229604430496693,32.81531160109706,0.04028335213661194,0.04033885896205902,0.0036966586744417284,0.04864155501127243,0
standard,1,failure,832,2.5556299686431885,0.3061898946762085,0.001201923076923077,0.0005172658711671829,32.8628617508546,0.03991976007819176,0.03999333083629608,0.004139525302423175,0.0487358421087265,0
standard,1,expert,192,2.6251864433288574,0.2793782651424408,0.0,0.0005476367077790201,32.615074490486975,0.04185892269015312,0.04183615371584892,0.017637606521662557,0.048232972621917725,0
standard,5,all,1024,3.797523021697998,0.1923065185546875,0.0,0.0015003153821453452,28.238174380588063,0.039106205105781555,0.04007614403963089,0.004400528318119471,0.04763844609260559,0
standard,5,failure,832,3.78444504737854,0.19488056004047394,0.0,0.0014732975978404284,28.317095192499334,0.038793113082647324,0.039685267955064774,0.00542081029199368,0.0483170710504055,0
standard,5,expert,192,3.854193687438965,0.18115234375,0.0,0.0016173915937542915,27.91184818425608,0.04046293720602989,0.04176996275782585,0.018622579626008502,0.044697750359773636,0
standard,10,all,1024,5.0208892822265625,0.1404266357421875,0.0,0.003014198038727045,25.208282170841343,0.037298861891031265,0.039556436240673065,0.005039071169911755,0.051530495285987854,0
standard,10,failure,832,4.952010631561279,0.14496318995952606,0.0,0.002895517973229289,25.382737349440156,0.03710335120558739,0.03909941762685776,0.0060412003854635925,0.05411630496382713,0
standard,10,expert,192,5.319364070892334,0.1207682266831398,0.0,0.0035284801851958036,24.52412317080431,0.038146067410707474,0.0415368527173996,0.02156454010950682,0.040325310081243515,0
standard,20,all,1024,6.887417316436768,0.083892822265625,0.0,0.005652168300002813,22.477849149985822,0.03385936841368675,0.03874496743083,0.007830223698048441,0.056188806891441345,0
standard,20,failure,832,6.828896522521973,0.08665113896131516,0.0,0.005474872421473265,22.616259965418575,0.033762477338314056,0.038149844855070114,0.00863255243167817,0.05808513984084129,0
standard,20,expert,192,7.141007900238037,0.0719401016831398,0.0,0.006420451682060957,21.924344180173772,0.03427921235561371,0.04132382571697235,0.023860615265133202,0.047971367835998535,0
standard,45,all,1024,9.558135986328125,0.0286102294921875,0.0,0.010002503171563148,19.99891302244176,0.02779386378824711,0.0389430969953537,0.020525939388077546,0.12276411056518555,24
standard,45,failure,832,9.4541015625,0.03081805817782879,0.0,0.00971855130046606,20.12398468520675,0.02761860005557537,0.038494110107421875,0.02234024746598039,0.12118609249591827,24
standard,45,expert,192,10.008946418762207,0.01904296875,0.0,0.011232963763177395,19.49505642120105,0.028553346171975136,0.040888711810112,0.04021528441318749,0.12960223853588104,0
extended,45,all,256,9.541172981262207,0.02911376953125,0.0,0.010379810817539692,19.838105618678416,0.026876330375671387,0.040280234068632126,0.04119052120221175,0.11583997309207916,0
extended,45,failure,43,9.430587768554688,0.02434593066573143,0.0,0.010827749036252499,19.65461818789395,0.015899023041129112,0.040112875401973724,0.1871155576952443,0.07793005555868149,0
extended,45,expert,213,9.563498497009277,0.030076291412115097,0.0,0.010289382189512253,19.876107010141187,0.02909240871667862,0.04031401500105858,0.036279400058073494,0.12349314987659454,0
extended,100,all,256,10.578950881958008,0.014892578125,0.0,0.010908037424087524,19.62253380718781,0.024371273815631866,0.03740879148244858,0.04978235212792873,0.10608749836683273,0
extended,100,failure,43,9.21426010131836,0.033793605864048004,0.0,0.007057858631014824,21.513270448121293,0.015122262760996819,0.024322276934981346,0.17230429937117756,0.10726427286863327,0
extended,100,expert,213,10.854453086853027,0.011076877824962139,0.0,0.011685303412377834,19.323600065399877,0.026238445192575455,0.040050677955150604,0.05224313226193628,0.10584993660449982,0
extended,200,all,256,11.032238006591797,0.00762939453125,0.0,0.011033546179533005,19.572848829646322,0.01977604813873768,0.038127072155475616,0.0879934147513955,0.1256069540977478,1
extended,200,failure,43,9.95832347869873,0.0032703487668186426,0.0,0.005768123548477888,22.389654459572206,0.01132121030241251,0.02024129219353199,0.3022796010788046,0.13234512507915497,1
extended,200,expert,213,11.24903678894043,0.00850939005613327,0.0,0.012096519581973553,19.17339567185318,0.021482892334461212,0.04173782095313072,0.08662705197221363,0.12424667924642563,0
