cohort,horizon,group,n_rollouts,visual_nll_nats_per_token,visual_token_accuracy,exact_grid_accuracy,decoded_mse,decoded_psnr_db,predicted_decoded_density,target_decoded_density,token_marginal_js_nats,mean_death_probability,death_targets
standard,1,all,1024,2.666255235671997,0.2812042236328125,0.0009765625,0.0005405956180766225,32.67127478897848,0.04017040506005287,0.04033885896205902,0.0051088107694509865,0.0038634734228253365,0
standard,1,failure,832,2.655334711074829,0.28466796875,0.001201923076923077,0.0005459719686768949,32.62829654294264,0.039812859147787094,0.03999333083629608,0.005569892173738811,0.003286538412794471,0
standard,1,expert,192,2.713576555252075,0.2661946713924408,0.0,0.0005172981764189899,32.862590525643675,0.041719768196344376,0.04183615371584892,0.01959048552315605,0.006363521795719862,0
standard,5,all,1024,3.972623825073242,0.164947509765625,0.0,0.0017012967728078365,27.69219921807351,0.03863881900906563,0.04007614403963089,0.006721161555800104,0.0029005277901887894,0
standard,5,failure,832,3.9506924152374268,0.1677621752023697,0.0,0.0016496372409164906,27.826115476582967,0.03833068907260895,0.039685267955064774,0.007648231196930229,0.00313674658536911,0
standard,5,expert,192,4.067660808563232,0.1527506560087204,0.0,0.001925155520439148,27.155341809916614,0.03997405245900154,0.04176996275782585,0.02260252270470273,0.0018769133603200316,0
standard,10,all,1024,5.115911483764648,0.11285400390625,0.0,0.003380968701094389,24.709588496438478,0.03643452748656273,0.039556436240673065,0.008666409946677216,0.01063061784952879,0
standard,10,failure,832,5.085341453552246,0.11553485691547394,0.0,0.0032817525789141655,24.83894164801148,0.036237284541130066,0.03909941762685776,0.009527505080484798,0.012970312498509884,0
standard,10,expert,192,5.2483811378479,0.1012369766831398,0.0,0.003810904687270522,24.189719130252882,0.03728923946619034,0.0415368527173996,0.02569467363432089,0.0004919457132928073,0
standard,20,all,1024,6.630427837371826,0.0635833740234375,0.0,0.006233395542949438,22.052753138797122,0.032232195138931274,0.03874496743083,0.014073978385997114,0.019107770174741745,0
standard,20,failure,832,6.6014556884765625,0.06548602879047394,0.0,0.006056361831724644,22.17788186211557,0.032122157514095306,0.038149844855070114,0.015063016096422853,0.019669679924845695,0
standard,20,expert,192,6.755972385406494,0.0553385429084301,0.0,0.007000542711466551,21.548682903487638,0.0327090285718441,0.04132382571697235,0.03417055894871013,0.016672829166054726,0
standard,45,all,1024,8.401704788208008,0.022430419921875,0.0,0.010183562524616718,19.921002657984136,0.025653623044490814,0.0389430969953537,0.035839829787994396,0.05550602823495865,24
standard,45,failure,832,8.38487720489502,0.02285531908273697,0.0,0.009922577999532223,20.0337547849958,0.025431374087929726,0.038494110107421875,0.03859630414483196,0.059368230402469635,24
standard,45,expert,192,8.474621772766113,0.02058919332921505,0.0,0.011314500123262405,19.463646284970846,0.026616692543029785,0.040888711810112,0.05437663356959378,0.038769833743572235,0
extended,45,all,256,8.270484924316406,0.02490234375,0.0,0.010470254346728325,19.80042768174175,0.024833597242832184,0.040280234068632126,0.050559326608230745,0.031417883932590485,0
extended,45,failure,43,8.230522155761719,0.023619186133146286,0.0,0.01084169652312994,19.64902753500237,0.014278423972427845,0.040112875401973724,0.20745945242364938,0.010287570767104626,0
extended,45,expert,213,8.278552055358887,0.025161385536193848,0.0,0.01039526704698801,19.831643494740604,0.026964452117681503,0.04031401500105858,0.04526203137917878,0.03568362444639206,0
extended,100,all,256,8.96811294555664,0.01165771484375,0.0,0.010000396519899368,19.999827797009814,0.021922076120972633,0.03740879148244858,0.061610572860110104,0.014438687823712826,0
extended,100,failure,43,8.625517845153809,0.019622093066573143,0.0,0.006087747402489185,22.155433759452645,0.011929668486118317,0.024322276934981346,0.16690516224724156,0.001945451251231134,0
extended,100,expert,213,9.037275314331055,0.010049882344901562,0.0,0.010790274478495121,19.6696750777495,0.02393932081758976,0.040050677955150604,0.06784160992470879,0.01696079596877098,0
extended,200,all,256,9.286569595336914,0.0072021484375,0.0,0.010676547884941101,19.715691477637634,0.021397681906819344,0.038127072155475616,0.0752223327898114,0.035722680389881134,1
extended,200,failure,43,9.262541770935059,0.0054505812004208565,0.0,0.005396307911723852,22.67903277579197,0.011877940036356449,0.02024129219353199,0.2389958201116099,0.002272231737151742,1
extended,200,expert,213,9.291419982910156,0.007555751129984856,0.0,0.011742510832846165,19.30239030493818,0.023319508880376816,0.04173782095313072,0.07890966572497962,0.042475588619709015,0
